 
 
 *exit standby-mode! 
task_idle highWater:12
*enter task_motor!
*enter task_dyn_reg!
adc_temp:2057, vref:1254 mV
pwm output enable!
bat:3894mV, curr:1690mA, ntc:7792R,  RMP:11841, duty:937, vbemf:571, bat_level:96, rpm_step:0, duty=937 
bat:3894mV, curr:1710mA, ntc:7792R,  RMP:11841, duty:946, vbemf:476, bat_level:96, rpm_step:0, duty=946 
bat:3890mV, curr:1770mA, ntc:7770R,  RMP:11841, duty:950, vbemf:525, bat_level:96, rpm_step:0, duty=951 
bat:3890mV, curr:1750mA, ntc:7770R,  RMP:11841, duty:950, vbemf:532, bat_level:96, rpm_step:0, duty=951 
bat:3888mV, curr:1770mA, ntc:7765R,  RMP:11841, duty:950, vbemf:560, bat_level:96, rpm_step:0, duty=951 
bat:3890mV, curr:1770mA, ntc:7770R,  RMP:11841, duty:950, vbemf:519, bat_level:96, rpm_step:0, duty=951 
bat:3888mV, curr:1770mA, ntc:7754R,  RMP:11841, duty:950, vbemf:543, bat_level:96, rpm_step:0, duty=951 
bat:3888mV, curr:1770mA, ntc:7743R,  RMP:11841, duty:950, vbemf:542, bat_level:96, rpm_step:0, duty=951 
bat:3888mV, curr:1750mA, ntc:7743R,  RMP:11841, duty:950, vbemf:613, bat_level:96, rpm_step:0, duty=951 
bat:3890mV, curr:1710mA, ntc:7749R,  RMP:11841, duty:932, vbemf:625, bat_level:95, rpm_step:0, duty=932 
bat:3892mV, curr:1630mA, ntc:7743R,  RMP:11841, duty:928, vbemf:586, bat_level:95, rpm_step:0, duty=928 
bat:3892mV, curr:1670mA, ntc:7743R,  RMP:11841, duty:934, vbemf:534, bat_level:95, rpm_step:0, duty=934 
bat:3890mV, curr:1690mA, ntc:7727R,  RMP:11841, duty:937, vbemf:597, bat_level:95, rpm_step:0, duty=937 
bat:3890mV, curr:1670mA, ntc:7716R,  RMP:11841, duty:930, vbemf:544, bat_level:95, rpm_step:0, duty=930 
bat:3892mV, curr:1650mA, ntc:7721R,  RMP:11841, duty:923, vbemf:645, bat_level:95, rpm_step:0, duty=923 
bat:3896mV, curr:1550mA, ntc:7721R,  RMP:11826, duty:896, vbemf:572, bat_level:95, rpm_step:0, duty=896 
